FIPS,state,state_fips,county,tract,geoid,area_name,area_land,total_pop,housing_units,owner_occupied_housing_units,persons_no_health_insurance,families,families_income_below_poverty_level,median_household_income,nh_white_alone,nh_black_or_african_american_alone,nh_american_indian_and_alaska_native_alone,nh_asian_alone,nh_native_hawaiian_and_other_pacific_islander_alone,nh_other,nh_two_or_more,hispanic_or_latino,households_receiving_assistance,households,pct_owner_occupied,pct_no_health_insurance,pct_families_income_below_poverty_level,pct_households_receiving_assistance,pct_nh_white_alone,pct_nh_black_or_african_american_alone,pct_nh_american_indian_and_alaska_native_alone,pct_nh_asian_alone,pct_nh_native_hawaiian_and_other_pacific_islander_alone,pct_nh_other,pct_nh_two_or_more,pct_hispanic_or_latino
06001402801,ca,06,001,402801,14000US06001402801,Census Tract 4028.01,0.112493957500961,3301,1864,289,170,757,48,100735,928,1230,11,582,0,0,336,214,541,1786,0.15504291845493562,0.051499545592244775,0.06340819022457067,0.30291153415453526,0.28112693123295973,0.37261435928506514,0.003332323538321721,0.17631020902756742,0.0,0.0,0.10178733717055438,0.06482883974553166
06001402802,ca,06,001,402802,14000US06001402802,Census Tract 4028.02,0.0457762738669059,1251,835,28,66,125,73,15745,276,583,0,195,0,0,133,64,42,699,0.033532934131736525,0.05275779376498801,0.584,0.060085836909871244,0.22062350119904076,0.4660271782573941,0.0,0.15587529976019185,0.0,0.0,0.10631494804156674,0.051159072741806554
06001402900,ca,06,001,402900,14000US06001402900,Census Tract 4029,0.157194164606168,1638,1240,0,92,214,26,33523,367,271,3,736,0,57,30,174,56,1025,0.0,0.05616605616605617,0.12149532710280374,0.054634146341463415,0.22405372405372406,0.16544566544566544,0.0018315018315018315,0.44932844932844934,0.0,0.0347985347985348,0.018315018315018316,0.10622710622710622
06001403000,ca,06,001,403000,14000US06001403000,Census Tract 4030,0.136060089853698,2907,1751,590,48,645,212,27774,226,43,10,2373,73,15,132,35,208,1510,0.336950314106225,0.016511867905056758,0.32868217054263565,0.13774834437086092,0.07774337805297557,0.01479188166494668,0.0034399724802201583,0.8163054695562435,0.025111799105607156,0.005159958720330237,0.04540763673890609,0.012039903680770554
06001403100,ca,06,001,403100,14000US06001403100,Census Tract 4031,0.133920311599899,2054,1114,257,99,292,60,125688,669,410,0,610,13,7,55,290,132,913,0.23070017953321365,0.048198636806231744,0.2054794520547945,0.14457831325301204,0.3257059396299903,0.19961051606621227,0.0,0.29698149951314506,0.006329113924050633,0.0034079844206426485,0.026777020447906523,0.14118792599805258
06001403301,ca,06,001,403301,14000US06001403301,Census Tract 4033.01,0.0759069153988358,1950,858,85,28,396,107,32788,254,47,91,1230,0,50,150,128,178,783,0.09906759906759907,0.014358974358974359,0.2702020202020202,0.227330779054917,0.13025641025641024,0.024102564102564103,0.04666666666666667,0.6307692307692307,0.0,0.02564102564102564,0.07692307692307693,0.06564102564102564
06001403302,ca,06,001,403302,14000US06001403302,Census Tract 4033.02,0.277699742238188,2279,1657,607,130,317,13,138750,1082,92,0,593,0,0,352,160,137,1414,0.36632468316234157,0.05704256252742431,0.04100946372239748,0.09688826025459689,0.4747696358051777,0.040368582711715666,0.0,0.2602018429135586,0.0,0.0,0.15445370776656428,0.07020623080298377
06001403401,ca,06,001,403401,14000US06001403401,Census Tract 4034.01,0.212234960161978,2882,2174,295,38,431,0,70135,1307,429,9,742,21,0,178,196,204,2062,0.13569457221711131,0.0131852879944483,0.0,0.09893307468477207,0.4535045107564192,0.14885496183206107,0.003122831367106176,0.25746009715475365,0.007286606523247745,0.0,0.06176266481609993,0.06800832755031229
06001403402,ca,06,001,403402,14000US06001403402,Census Tract 4034.02,0.0383071272917095,1197,899,0,198,126,0,80436,405,217,0,258,43,0,156,118,71,791,0.0,0.16541353383458646,0.0,0.0897597977243995,0.3383458646616541,0.18128654970760233,0.0,0.21553884711779447,0.03592314118629908,0.0,0.13032581453634084,0.0985797827903091
06001403501,ca,06,001,403501,14000US06001403501,Census Tract 4035.01,0.258639422267594,4655,2983,210,218,822,99,65909,1731,904,39,1210,65,6,443,257,278,2592,0.07039892725444184,0.04683136412459721,0.12043795620437957,0.10725308641975309,0.3718582169709989,0.19419978517722877,0.008378088077336197,0.25993555316863587,0.013963480128893663,0.0012889366272824919,0.09516648764769066,0.05520945220193341
